,Unnamed: 0,Teams,SeasonStart,Assoc
0,division_1,Eastern Division,1968,ABA
1,division_1,Pittsburgh Pipers,1968,ABA
2,division_1,Minnesota Muskies,1968,ABA
3,division_1,Indiana Pacers,1968,ABA
4,division_1,Kentucky Colonels,1968,ABA
5,division_1,New Jersey Americans,1968,ABA
6,division_2,Western Division,1968,ABA
7,division_2,New Orleans Buccaneers,1968,ABA
8,division_2,Dallas Chaparrals,1968,ABA
9,division_2,Denver Rockets,1968,ABA
10,division_2,Houston Mavericks,1968,ABA
11,division_2,Anaheim Amigos,1968,ABA
12,division_2,Oakland Oaks,1968,ABA
13,division_1,Eastern Division,1969,ABA
14,division_1,Indiana Pacers,1969,ABA
15,division_1,Miami Floridians,1969,ABA
16,division_1,Kentucky Colonels,1969,ABA
17,division_1,Minnesota Pipers,1969,ABA
18,division_1,New York Nets,1969,ABA
19,division_2,Western Division,1969,ABA
20,division_2,Oakland Oaks,1969,ABA
21,division_2,New Orleans Buccaneers,1969,ABA
22,division_2,Denver Rockets,1969,ABA
23,division_2,Dallas Chaparrals,1969,ABA
24,division_2,Los Angeles Stars,1969,ABA
25,division_2,Houston Mavericks,1969,ABA
26,division_1,Eastern Division,1970,ABA
27,division_1,Indiana Pacers,1970,ABA
28,division_1,Kentucky Colonels,1970,ABA
29,division_1,Carolina Cougars,1970,ABA
30,division_1,New York Nets,1970,ABA
31,division_1,Pittsburgh Pipers,1970,ABA
32,division_1,Miami Floridians,1970,ABA
33,division_2,Western Division,1970,ABA
34,division_2,Denver Rockets,1970,ABA
35,division_2,Dallas Chaparrals,1970,ABA
36,division_2,Washington Capitols,1970,ABA
37,division_2,Los Angeles Stars,1970,ABA
38,division_2,New Orleans Buccaneers,1970,ABA
39,division_1,Eastern Division,1971,ABA
40,division_1,Virginia Squires,1971,ABA
41,division_1,Kentucky Colonels,1971,ABA
42,division_1,New York Nets,1971,ABA
43,division_1,The Floridians,1971,ABA
44,division_1,Pittsburgh Condors,1971,ABA
45,division_1,Carolina Cougars,1971,ABA
46,division_2,Western Division,1971,ABA
47,division_2,Indiana Pacers,1971,ABA
48,division_2,Utah Stars,1971,ABA
49,division_2,Memphis Pros,1971,ABA
50,division_2,Texas Chaparrals,1971,ABA
51,division_2,Denver Rockets,1971,ABA
52,division_1,Eastern Division,1972,ABA
53,division_1,Kentucky Colonels,1972,ABA
54,division_1,Virginia Squires,1972,ABA
55,division_1,New York Nets,1972,ABA
56,division_1,The Floridians,1972,ABA
57,division_1,Carolina Cougars,1972,ABA
58,division_1,Pittsburgh Condors,1972,ABA
59,division_2,Western Division,1972,ABA
60,division_2,Utah Stars,1972,ABA
