,Unnamed: 0,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes,Year,Month,Association,Start (ET)
0,0,1995-04-27,Atlanta Hawks,82,Indiana Pacers,90,Box Score,https://www.basketball-reference.com/boxscores/,"16,445",,1995,4,NBA,
1,1,1995-04-27,Cleveland Cavaliers,79,New York Knicks,103,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1995,4,NBA,
2,2,1995-04-27,Los Angeles Lakers,71,Seattle SuperSonics,96,Box Score,https://www.basketball-reference.com/boxscores/,"14,073",,1995,4,NBA,
3,3,1995-04-27,Houston Rockets,100,Utah Jazz,102,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1995,4,NBA,
4,4,1995-04-28,Denver Nuggets,88,San Antonio Spurs,104,Box Score,https://www.basketball-reference.com/boxscores/,"25,235",,1995,4,NBA,
5,5,1995-04-28,Portland Trail Blazers,102,Phoenix Suns,129,Box Score,https://www.basketball-reference.com/boxscores/,"19,023",,1995,4,NBA,
6,6,1995-04-28,Boston Celtics,77,Orlando Magic,124,Box Score,https://www.basketball-reference.com/boxscores/,"16,010",,1995,4,NBA,
7,7,1995-04-28,Chicago Bulls,108,Charlotte Hornets,100,Box Score,https://www.basketball-reference.com/boxscores/,"23,859",,1995,4,NBA,
8,8,1995-04-29,Houston Rockets,140,Utah Jazz,126,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1995,4,NBA,
9,9,1995-04-29,Los Angeles Lakers,84,Seattle SuperSonics,82,Box Score,https://www.basketball-reference.com/boxscores/,"14,681",,1995,4,NBA,
10,10,1995-04-29,Cleveland Cavaliers,90,New York Knicks,84,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1995,4,NBA,
11,11,1995-04-29,Atlanta Hawks,97,Indiana Pacers,105,Box Score,https://www.basketball-reference.com/boxscores/,"16,692",,1995,4,NBA,
12,12,1995-04-30,Denver Nuggets,96,San Antonio Spurs,122,Box Score,https://www.basketball-reference.com/boxscores/,,,1995,4,NBA,
13,13,1995-04-30,Portland Trail Blazers,94,Phoenix Suns,103,Box Score,https://www.basketball-reference.com/boxscores/,,,1995,4,NBA,
14,14,1995-04-30,Boston Celtics,99,Orlando Magic,92,Box Score,https://www.basketball-reference.com/boxscores/,,,1995,4,NBA,
15,15,1995-04-30,Chicago Bulls,89,Charlotte Hornets,106,Box Score,https://www.basketball-reference.com/boxscores/,,,1995,4,NBA,
16,16,1995-05-01,New York Knicks,83,Cleveland Cavaliers,81,Box Score,https://www.basketball-reference.com/boxscores/,"19,352",,1995,5,NBA,
17,17,1995-05-01,Seattle SuperSonics,101,Los Angeles Lakers,105,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1995,5,NBA,
18,18,1995-05-02,Phoenix Suns,117,Portland Trail Blazers,109,Box Score,https://www.basketball-reference.com/boxscores/,"12,888",,1995,5,NBA,
19,19,1995-05-02,San Antonio Spurs,99,Denver Nuggets,95,Box Score,https://www.basketball-reference.com/boxscores/,"17,171",,1995,5,NBA,
